station_id, name, longitude, latitude, altitude, source
000212, BRAGANCA, -6.733100, 41.800000, 690, ECA&D
000214, LISBOA-GEOFISICA, -9.150000, 38.716700, 77, ECA&D
000217, ARAD, 21.350000, 46.133100, 116, ECA&D
000219, BUCURESTI-BANEASA, 26.083100, 44.516700, 90, ECA&D
000229, BADAJOZ-TALAVERA LA REAL, -6.829200, 38.883100, 185, ECA&D
000231, MALAGA, -4.488100, 36.666700, 7, ECA&D
000232, NAVACERRADA, -4.010300, 40.780600, 1894, ECA&D
000234, SAN-SEBASTIAN-IGUELDO, -2.039200, 43.307500, 251, ECA&D
000236, TORTOSA-OBSERVATORIO-DEL-EBRO, 0.491390, 40.820600, 44, ECA&D
000239, BASEL-BINNINGEN, 7.583100, 47.550000, 316, ECA&D
000242, LUGANO, 8.966700, 46.000000, 300, ECA&D
000243, SAENTIS, 9.350000, 47.250000, 2502, ECA&D
000244,	ZUERISWITZERLAND, 8.5667, 47.3831, 556, ECA&D
000272, ESKDALEMUIR, -3.200000, 55.316700, 242, ECA&D
000274, OXFORD, -1.266700, 51.766700, 63, ECA&D
000275, WICK, -3.083100, 58.450000, 36, ECA&D
000322, RENNES, -1.733100, 48.066700, 36, ECA&D
000330, FOKSTUA, 9.283100, 62.116700, 952, ECA&D
000332, LEBA, 17.533100, 54.750000, 2, ECA&D
000333, SIEDLCE, 22.250000, 52.250000, 152, ECA&D
000339, HAPARANDA, 24.143900, 65.826900, 5, ECA&D
000349, STORNOWAY, -6.320000, 58.330000, 9, ECA&D
000350, VALLEY, -4.533100, 53.250000, 11, ECA&D
000351, WADDINGTON, 0.523890, 53.165800, 68, ECA&D
000355, MONT-AIGOUAL, 3.583100, 44.116700, 1567, ECA&D
000450, SIBIU, 24.150000, 45.800000, 444, ECA&D
000462, GOTEBORG A, 11.994200, 57.715800, 5, ECA&D
000465, VISBY, 18.333100, 57.666700, 42, ECA&D
000468, HELGOLAND, 7.893100, 54.176400, 4, ECA&D
000483, DRESDEN-KLOTZSCHE, 13.755800, 51.129200, 227, ECA&D
000708, JOKIOINEN-JOKIOISTEN, 23.500600, 60.813900, 104, ECA&D
000800, TOULOUSE-BLAGNAC, 1.378100, 43.623100, 151, ECA&D
000951, IASI, 27.633100, 47.166700, 102, ECA&D
001009, BIRZAI, 24.766700, 56.200000, 60, ECA&D
001020, LAZDIJAI, 23.516700, 54.233100, 133, ECA&D
001051, TAFJORD, 7.416700, 62.233300, 15, ECA&D
001394, SANTIAGO-DE-COMPOSTELA, -8.410600, 42.887800, 370, ECA&D
001427, JACKVIK, 17.000000, 66.379700, 430, ECA&D
001662, SION, 7.333100, 46.216700, 482, ECA&D
001684, GOSPIC, 15.366700, 44.550000, 564, ECA&D
001686, HVAR, 16.450000, 43.166700, 20, ECA&D
001687, ZAVIZAN, 14.983100, 44.816700, 1594, ECA&D
002006, BROCKEN, 10.620000, 51.800000, 1142, ECA&D
002062, CONSTANTA, 28.630000, 44.220000, 13, ECA&D
002762, RHEINSTETTEN, 8.330800, 48.973300, 116, ECA&D
003919, PALMA-DE-MALLORCA, 2.736700, 39.560600, 8, ECA&D
003946, MADRID-BARAJAS, -3.555600, 40.466700, 609, ECA&D
003991, GIESSEN-WETTENBERG, 8.650600, 50.600800, 203, ECA&D
003994, ARKONA, 13.436700, 54.681700, 42, ECA&D
004002, OBERSTDORF, 10.276700, 47.398900, 806, ECA&D
004004, REGENSBURG, 12.103100, 49.043300, 365, ECA&D
005585, SALEN, 13.260000, 61.170000, 360, ECA&D
007682, SIIKAJOKI-REVONLAHTI, 25.092500, 64.683300, 48, ECA&D
